Timestamp (s),BPM
1.1,75.0
1.86,78.94736842105263
2.8,63.829787234042556
3.66,69.76744186046511
4.74,55.55555555555555
5.58,71.42857142857143
6.3,83.33333333333334
6.91,98.36065573770492
7.94,58.252427184466015
9.15,49.586776859504134
9.76,98.36065573770492
11.04,46.875
11.75,84.50704225352113
12.63,68.18181818181819
13.27,93.75
14.29,58.8235294117647
15.31,58.8235294117647
16.48,51.282051282051285
17.22,81.08108108108108
17.85,95.23809523809524
18.47,96.7741935483871
19.5,58.252427184466015
20.23,82.19178082191782
20.99,78.94736842105263
21.65,90.9090909090909
22.77,53.57142857142857
23.42,92.3076923076923
24.17,80.0
25.13,62.5
25.96,72.28915662650603
26.8,71.42857142857143
27.4,100.0
28.67,47.24409448818898
29.76,55.04587155963302
30.43,89.55223880597015
31.08,92.3076923076923
31.69,98.36065573770492
32.42,82.19178082191782
33.59,51.282051282051285
34.28,86.95652173913044
35.38,54.54545454545454
36.05,89.55223880597015
36.69,93.75
37.33,93.75
37.97,93.75
38.59,96.7741935483871
39.74,52.173913043478265
40.35,98.36065573770492
40.97,96.7741935483871
41.59,96.7741935483871
42.21,96.7741935483871
42.88,89.55223880597015
43.52,93.75
44.17,92.3076923076923
44.79,96.7741935483871
45.54,80.0
46.33,75.94936708860759
47.59,47.61904761904762
48.24,92.3076923076923
48.85,98.36065573770492
50.02,51.282051282051285
50.68,90.9090909090909
51.29,98.36065573770492
52.46,51.282051282051285
53.46,60.0
54.35,67.41573033707866
55.01,90.9090909090909
56.03,58.8235294117647
56.96,64.51612903225806
58.18,49.18032786885246
58.81,95.23809523809524
59.44,95.23809523809524
60.12,88.23529411764706
61.26,52.631578947368425
62.17,65.93406593406593
62.81,93.75
63.75,63.829787234042556
64.68,64.51612903225806
65.55,68.96551724137932
66.2,92.3076923076923
66.9,85.71428571428572
67.68,76.92307692307692
68.46,76.92307692307692
69.32,69.76744186046511
70.08,78.94736842105263
70.82,81.08108108108108
71.87,57.14285714285714
72.5,95.23809523809524
73.28,76.92307692307692
74.48,50.0
75.1,96.7741935483871
76.3,50.0
77.03,82.19178082191782
77.79,78.94736842105263
78.46,89.55223880597015
79.07,98.36065573770492
79.99,65.21739130434783
80.72,82.19178082191782
81.88,51.724137931034484
82.98,54.54545454545454
83.8,73.17073170731707
84.4,100.0
85.59,50.420168067226896
86.19,100.0
87.0,74.07407407407408
87.96,62.5
88.72,78.94736842105263
89.45,82.19178082191782
90.26,74.07407407407408
90.91,92.3076923076923
91.74,72.28915662650603
92.44,85.71428571428572
93.13,86.95652173913044
93.8,89.55223880597015
94.45,92.3076923076923
95.1,92.3076923076923
95.74,93.75
96.38,93.75
97.06,88.23529411764706
97.71,92.3076923076923
98.33,96.7741935483871
99.57,48.38709677419355
100.22,92.3076923076923
100.95,82.19178082191782
101.56,98.36065573770492
102.21,92.3076923076923
102.94,82.19178082191782
103.97,58.252427184466015
104.69,83.33333333333334
105.84,52.173913043478265
107.0,51.724137931034484
107.61,98.36065573770492
108.28,89.55223880597015
108.91,95.23809523809524
109.56,92.3076923076923
110.22,90.9090909090909
110.89,89.55223880597015
111.56,89.55223880597015
112.2,93.75
